#,Program:featureCounts
Geneid,SRR17446276.bam
AT1G34310,2
AT1G55440,13
AT1G72530,66
AT1G62930,64
AT1G50480,5600
AT1G20540,444
AT1G58150,37
AT1G23060,106
AT1G23910,0
AT1G71330,31
AT1G48510,57
AT1G66370,1
AT1G24520,0
AT1G58225,5
AT1G76680,1591
AT1G34245,18
AT1G57565,0
AT1G77420,312
AT1G27310,1965
AT1G35255,10
AT1G24020,839
AT1G72960,6
AT1G28210,72
AT1G14840,840
AT1G35620,1367
AT1G72210,32
AT1G14685,1418
AT1G66070,576
AT1G02070,14
AT1G70300,814
AT1G78922,0
AT1G33470,1531
AT1G55947,0
AT1G55540,631
AT1G78890,733
AT1G59940,23
AT1G01910,922
AT1G01570,96
AT1G08730,169
AT1G68185,239
AT1G16080,1471
AT1G04940,91
AT1G02340,973
AT1G62880,258
AT1G67930,1154
AT1G51170,365
AT1G71970,208
AT1G05385,236
AT1G47845,4
AT1G67560,952
AT1G26320,0
AT1G01680,16
AT1G67025,2
AT1G64160,15
AT1G51780,0
AT1G65660,1301
AT1G51600,321
AT1G71500,5462
AT1G70780,1881
AT1G66160,203
AT1G73120,216
AT1G48090,2365
AT1G70760,0
AT1G47765,0
AT1G48820,13
AT1G18300,183
AT1G73680,421
AT1G35040,0
AT1G02810,732
AT1G54460,708
AT1G21990,3
AT1G06180,176
AT1G75660,1949
AT1G48620,1979
AT1G74250,645
AT1G07740,57
AT1G77140,608
AT1G73170,1140
AT1G67500,449
AT1G26350,0
AT1G32510,30
AT1G22890,453
AT1G23830,2
AT1G76510,443
AT1G08010,602
AT1G05840,674
AT1G55200,52
AT1G17070,297
AT1G78090,111
AT1G70810,313
AT1G64750,921
AT1G46984,0
AT1G11460,10
AT1G78440,9
AT1G79570,796
AT1G09157,3
AT1G03720,0
AT1G01690,152
AT1G76230,4
AT1G63240,584
AT1G70960,0
AT1G34300,700
AT1G09680,33
AT1G42680,0
AT1G29180,4
AT1G03730,311
AT1G18160,1644
AT1G53490,78
AT1G77100,3
AT1G67130,0
AT1G26260,179
AT1G64255,0
AT1G08290,62
AT1G12320,263
AT1G18990,26
AT1G11220,56
AT1G55207,1
AT1G74660,108
AT1G63460,602
AT1G55325,980
AT1G77660,55
AT1G30130,648
AT1G80390,0
AT1G31300,920
AT1G73750,600
AT1G55990,258
AT1G60570,0
AT1G68907,0
AT1G66030,1
AT1G27170,129
AT1G04700,69
AT1G67050,652
AT1G76220,21
AT1G56400,0
AT1G78040,7133
AT1G49170,76
AT1G31540,621
AT1G29420,21
AT1G64840,284
AT1G62030,221
AT1G60095,246
AT1G21230,4
AT1G21660,1622
AT1G65320,486
AT1G50570,1012
AT1G33850,0
AT1G47870,216
